product_id,author_name,rating,comment,approved
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Lívia Pereira,5,Simplesmente perfeito! O controle pelo celular facilita muito e os 9 modos são incríveis.,1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Beatriz Fonseca,5,"Melhor compra que fiz este ano. Discreto, potente e o aplicativo funciona super bem.",1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Sabrina Lopes,5,Maravilhoso! O toque dele é super macio e as vibrações são muito potentes.,1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Olívia Lima,5,Adorei a conectividade bluetooth. Dá para usar sozinha ou com o parceiro à distância.,1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Yasmin Alves,4,Superou todas as minhas expectativas. Muito fácil de usar pelo celular e a bateria dura bem.,1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Paloma Fonseca,5,"Amei demais! Os modos de vibração são bem variados, um melhor que o outro.",1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Bianca Ferreira,5,"Produto excelente, entrega rápida e super discreta. Recomendo muito!",1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Flávia Machado,5,O controle pelo aplicativo é sensacional. Muito moderno e prático para o dia a dia.,1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Camila Santos,4,Estou encantada com a qualidade desse vibrador. Material muito confortável e premium.,1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Fernanda Carvalho,5,Sensacional! Um investimento que vale cada centavo. Muito potente.,1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Olívia Azevedo,5,"Gente, comprem sem medo. A conexão com o celular é perfeita e não falha.",1
vibrador-bluetoooth-controle-no-celular-9-modos-de-vibracao,Gisele Santos,5,Muito bom mesmo. O design é lindo e as funções de vibração são ótimas.,1
